Subject,Volume,Marker,Method,x,y,z
Control_01,1,L-MFG,MC-MoCo,120.041,184.933,92.992
Control_01,1,L-MFG,MCFLIRT,121.001,185.953,93.086
Control_01,1,L-MFG,Pre-MoCo,120.008,185.274,92.848
Control_01,1,LR-SCCG,MC-MoCo,99.040,132.002,71.108
Control_01,1,LR-SCCG,MCFLIRT,98.944,131.918,70.902
Control_01,1,LR-SCCG,Pre-MoCo,98.890,131.567,70.633
Control_01,1,R-PCG,MC-MoCo,44.982,114.004,95.005
Control_01,1,R-PCG,MCFLIRT,46.031,113.990,93.890
Control_01,1,R-PCG,Pre-MoCo,45.382,114.240,95.153
Control_01,1,R-SFG,MC-MoCo,78.962,105.938,117.994
Control_01,1,R-SFG,MCFLIRT,79.008,106.018,117.923
Control_01,1,R-SFG,Pre-MoCo,79.913,105.971,116.948
Control_01,2,L-MFG,MC-MoCo,119.996,185.133,93.133
Control_01,2,L-MFG,MCFLIRT,120.961,186.056,93.920
Control_01,2,L-MFG,Pre-MoCo,120.008,185.743,93.299
Control_01,2,LR-SCCG,MC-MoCo,98.965,132.027,71.108
Control_01,2,LR-SCCG,MCFLIRT,99.787,131.210,70.902
Control_01,2,LR-SCCG,Pre-MoCo,99.192,131.849,70.633
Control_01,2,R-PCG,MC-MoCo,44.957,114.039,95.042
Control_01,2,R-PCG,MCFLIRT,46.031,113.186,93.995
Control_01,2,R-PCG,Pre-MoCo,45.382,113.786,94.142
Control_01,2,R-SFG,MC-MoCo,78.933,105.878,117.994
Control_01,2,R-SFG,MCFLIRT,79.008,106.018,118.512
Control_01,2,R-SFG,Pre-MoCo,79.014,105.969,116.948
Control_01,3,L-MFG,MC-MoCo,120.041,185.067,92.992
Control_01,3,L-MFG,MCFLIRT,120.961,185.523,93.752
Control_01,3,L-MFG,Pre-MoCo,120.008,185.421,92.398
Control_01,3,LR-SCCG,MC-MoCo,98.990,131.884,70.962
Control_01,3,LR-SCCG,MCFLIRT,99.483,131.884,70.902
Control_01,3,LR-SCCG,Pre-MoCo,99.454,131.624,70.633
Control_01,3,R-PCG,MC-MoCo,45.098,114.039,94.972
Control_01,3,R-PCG,MCFLIRT,46.031,113.501,93.088
Control_01,3,R-PCG,Pre-MoCo,45.382,114.443,93.890
Control_01,3,R-SFG,MC-MoCo,78.933,105.878,117.994
Control_01,3,R-SFG,MCFLIRT,79.008,106.018,119.023
Control_01,3,R-SFG,Pre-MoCo,79.219,105.966,117.997
Control_01,4,L-MFG,MC-MoCo,119.996,185.018,92.935
Control_01,4,L-MFG,MCFLIRT,120.855,185.282,93.086
Control_01,4,L-MFG,Pre-MoCo,119.999,184.932,92.937
Control_01,4,LR-SCCG,MC-MoCo,98.990,131.952,71.108
Control_01,4,LR-SCCG,MCFLIRT,98.944,131.991,69.974
Control_01,4,LR-SCCG,Pre-MoCo,99.256,131.624,70.633
Control_01,4,R-PCG,MC-MoCo,44.922,114.076,94.870
Control_01,4,R-PCG,MCFLIRT,46.031,113.990,93.323
Control_01,4,R-PCG,Pre-MoCo,44.633,114.443,93.991
Control_01,4,R-SFG,MC-MoCo,78.933,105.878,117.994
Control_01,4,R-SFG,MCFLIRT,79.279,106.002,117.545
Control_01,4,R-SFG,Pre-MoCo,79.015,105.945,117.042
Control_01,5,L-MFG,MC-MoCo,119.996,185.130,92.973
Control_01,5,L-MFG,MCFLIRT,120.165,185.868,93.086
Control_01,5,L-MFG,Pre-MoCo,120.914,185.550,93.943
Control_01,5,LR-SCCG,MC-MoCo,98.891,132.201,71.108
Control_01,5,LR-SCCG,MCFLIRT,98.944,131.008,70.902
Control_01,5,LR-SCCG,Pre-MoCo,99.567,131.511,70.633
Control_01,5,R-PCG,MC-MoCo,44.922,114.003,94.981
Control_01,5,R-PCG,MCFLIRT,46.031,113.462,93.108
Control_01,5,R-PCG,Pre-MoCo,45.857,113.937,94.092
Control_01,5,R-SFG,MC-MoCo,79.022,105.878,117.994
Control_01,5,R-SFG,MCFLIRT,79.685,106.002,118.372
Control_01,5,R-SFG,Pre-MoCo,79.015,105.574,118.492
Control_02,1,L-MFG,MC-MoCo,119.046,198.876,92.943
Control_02,1,L-MFG,MCFLIRT,123.929,197.054,99.121
Control_02,1,L-MFG,Pre-MoCo,122.972,196.996,100.029
Control_02,1,LR-SCCG,MC-MoCo,101.917,143.008,63.080
Control_02,1,LR-SCCG,MCFLIRT,102.108,143.080,62.909
